# coding: utf-8
# 小鹤音形用户词库（默认和系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码各字段以制表符（Tab）分隔
# 编码格式：字词Tab编码Tab权重（权重决定重码的次序，权重大则居前，无重码则无需权重）
# 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
#    ================
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment


模板	mobj	999
觉得	jdi
监听	jmtk	999
嗯嗯	ee
妙妙弟	mmdi
原型	yrxk	999
简洁	jjd
拥塞	ysse
普宁	punk
知乎	vihu
精力	jlv
考研	kcyj
回调	hvdn
哈哈哈	hhh
遍历	bmli
梳理	ulw
事实	uub
基于	jya
置顶	vdd
想想	xxm
智	viud
计	jiyd
忘尘	whif
组件	zujm
前端	qmdr
http://www.hejizhan.com/html/search	heji
site:zhihu.com 	site
微信	wwxb
wcdaren@gmail.com	wc
gaowangcheng2008@qq.com	gaow
二叉树	eiuu
摊手	tjuz
伪类	wwlw
尤克里里	ykll
妮子	nizi
filestyle:	file
链表	lmbn
结点	jpdm
生无可恋	uwkl
实例	uili
闭包	bibc
矩行	juxk
绘制	hvvi
老姿娘	lzn
book.douban.com/tag/	book
wcdaren@foxmail.com	fox
辈子	bwzi
妈蛋	madj



